DateTime,Load_DA,Load_ACT
2015-01-01T01:00:00Z,23959,24298
2015-01-01T02:00:00Z,25995,27243
2015-01-01T03:00:00Z,25923,26818
2015-01-01T04:00:00Z,25632,26019
2015-01-01T05:00:00Z,26563,26304
2015-01-01T06:00:00Z,24847,25555
2015-01-01T07:00:00Z,28966,28222
2015-01-01T08:00:00Z,28822,28457
2015-01-01T09:00:00Z,28361,29160
2015-01-01T10:00:00Z,27151,27171
2015-01-01T11:00:00Z,26383,26402
2015-01-01T12:00:00Z,28161,28033
2015-01-01T13:00:00Z,28401,28057
2015-01-01T14:00:00Z,28158,27865
2015-01-01T15:00:00Z,28330,28342
2015-01-01T16:00:00Z,29129,28889
2015-01-01T17:00:00Z,27766,27371
2015-01-01T18:00:00Z,27198,26865
2015-01-01T19:00:00Z,29044,29025
2015-01-01T20:00:00Z,29658,29411
2015-01-01T21:00:00Z,29383,29755
2015-01-01T22:00:00Z,29950,29746
2015-01-01T23:00:00Z,29959,30040
2015-01-02T00:00:00Z,28293,27877
2015-01-02T01:00:00Z,27181,26853
2015-01-02T02:00:00Z,28730,28656
2015-01-02T03:00:00Z,28929,29096
2015-01-02T04:00:00Z,29143,28577
2015-01-02T05:00:00Z,28646,28858
2015-01-02T06:00:00Z,28825,28724
2015-01-02T07:00:00Z,27309,27070
2015-01-02T08:00:00Z,27100,26687
2015-01-02T09:00:00Z,28998,29071
2015-01-02T10:00:00Z,29863,29735
2015-01-02T11:00:00Z,30031,29913
2015-01-02T12:00:00Z,30788,29977
2015-01-02T13:00:00Z,30693,30477
2015-01-02T14:00:00Z,28853,28872
2015-01-02T15:00:00Z,27942,27602
2015-01-02T16:00:00Z,29404,29696
2015-01-02T17:00:00Z,29786,29639
2015-01-02T18:00:00Z,29281,29186
2015-01-02T19:00:00Z,29480,29098
2015-01-02T20:00:00Z,29149,28973
2015-01-02T21:00:00Z,27162,27038
2015-01-02T22:00:00Z,26186,25952
2015-01-02T23:00:00Z,27975,27955
2015-01-03T00:00:00Z,28305,28328
2015-01-03T01:00:00Z,28776,27937
2015-01-03T02:00:00Z,28469,28161
2015-01-03T03:00:00Z,28538,28183
2015-01-03T04:00:00Z,26603,26919
2015-01-03T05:00:00Z,25998,25948
2015-01-03T06:00:00Z,27631,28105
2015-01-03T07:00:00Z,28498,28187
2015-01-03T08:00:00Z,27847,28205
2015-01-03T09:00:00Z,28242,27464
2015-01-03T10:00:00Z,27766,27739
2015-01-03T11:00:00Z,26323,25564
2015-01-03T12:00:00Z,24622,24402
2015-01-03T13:00:00Z,26110,26021
2015-01-03T14:00:00Z,26296,26156
2015-01-03T15:00:00Z,26563,26571
2015-01-03T16:00:00Z,27108,26951
2015-01-03T17:00:00Z,27238,26839
2015-01-03T18:00:00Z,25079,24574
2015-01-03T19:00:00Z,23739,23987
2015-01-03T20:00:00Z,25673,25865
2015-01-03T21:00:00Z,25887,25921
2015-01-03T22:00:00Z,25701,25830
2015-01-03T23:00:00Z,25727,26024
2015-01-04T00:00:00Z,26301,26196
2015-01-04T01:00:00Z,24926,24920
2015-01-04T02:00:00Z,24604,24676
2015-01-04T03:00:00Z,26739,26722
2015-01-04T04:00:00Z,26568,27013
2015-01-04T05:00:00Z,26558,26981
2015-01-04T06:00:00Z,25983,26406
2015-01-04T07:00:00Z,26614,26527
2015-01-04T08:00:00Z,25478,25270
2015-01-04T09:00:00Z,24772,25117
2015-01-04T10:00:00Z,27290,27089
2015-01-04T11:00:00Z,27603,27115
2015-01-04T12:00:00Z,27402,27006
2015-01-04T13:00:00Z,27170,27277
2015-01-04T14:00:00Z,26785,26665
2015-01-04T15:00:00Z,24472,24029
2015-01-04T16:00:00Z,23365,23928
2015-01-04T17:00:00Z,25371,25340
2015-01-04T18:00:00Z,25481,25254
2015-01-04T19:00:00Z,25051,24449
2015-01-04T20:00:00Z,23160,22551
2015-01-04T21:00:00Z,22048,22005
2015-01-04T22:00:00Z,22602,22695
2015-01-04T23:00:00Z,22386,22074
2015-01-05T00:00:00Z,23070,23313
2015-01-05T01:00:00Z,25377,25138
2015-01-05T02:00:00Z,24921,25538
2015-01-05T03:00:00Z,25685,25497
2015-01-05T04:00:00Z,25483,25812
2015-01-05T05:00:00Z,23892,24003
2015-01-05T06:00:00Z,23283,23475
2015-01-05T07:00:00Z,25184,24815
2015-01-05T08:00:00Z,24949,25292
2015-01-05T09:00:00Z,25212,25286
2015-01-05T10:00:00Z,25361,25398
2015-01-05T11:00:00Z,25524,25230
2015-01-05T12:00:00Z,23585,23555
2015-01-05T13:00:00Z,23225,22984
2015-01-05T14:00:00Z,24713,24837
2015-01-05T15:00:00Z,24954,25040
2015-01-05T16:00:00Z,24919,25096
2015-01-05T17:00:00Z,24795,24580
2015-01-05T18:00:00Z,24772,25086
2015-01-05T19:00:00Z,23486,23401
2015-01-05T20:00:00Z,22888,23262
2015-01-05T21:00:00Z,24936,24793
2015-01-05T22:00:00Z,24999,24837
2015-01-05T23:00:00Z,24812,25216
2015-01-06T00:00:00Z,25149,25069
2015-01-06T01:00:00Z,22230,22311
2015-01-06T02:00:00Z,23430,23212
2015-01-06T03:00:00Z,22654,22918
2015-01-06T04:00:00Z,24377,25111
2015-01-06T05:00:00Z,25179,25080
2015-01-06T06:00:00Z,25134,25244
2015-01-06T07:00:00Z,25501,25513
2015-01-06T08:00:00Z,25714,25631
2015-01-06T09:00:00Z,23711,23655
2015-01-06T10:00:00Z,23498,23611
2015-01-06T11:00:00Z,25729,25597
2015-01-06T12:00:00Z,25621,25775
2015-01-06T13:00:00Z,26110,26430
2015-01-06T14:00:00Z,26354,26377
2015-01-06T15:00:00Z,25578,25303
2015-01-06T16:00:00Z,23618,23763
2015-01-06T17:00:00Z,23311,23568
2015-01-06T18:00:00Z,25534,25647
2015-01-06T19:00:00Z,25642,25250
2015-01-06T20:00:00Z,25448,25115
2015-01-06T21:00:00Z,25225,25530
2015-01-06T22:00:00Z,25542,25502
2015-01-06T23:00:00Z,23713,23785
2015-01-07T00:00:00Z,23402,23507
2015-01-07T01:00:00Z,25404,25120
2015-01-07T02:00:00Z,25240,25625
2015-01-07T03:00:00Z,25786,25724
2015-01-07T04:00:00Z,26029,26194
2015-01-07T05:00:00Z,26199,25662
2015-01-07T06:00:00Z,23997,23970
2015-01-07T07:00:00Z,24086,23711
2015-01-07T08:00:00Z,25301,25777
2015-01-07T09:00:00Z,26502,26397
2015-01-07T10:00:00Z,26638,26911
2015-01-07T11:00:00Z,27086,26573
2015-01-07T12:00:00Z,26662,26884
2015-01-07T13:00:00Z,25089,24928
2015-01-07T14:00:00Z,24612,25136
2015-01-07T15:00:00Z,27320,26886
2015-01-07T16:00:00Z,26854,26842
2015-01-07T17:00:00Z,26638,26883
2015-01-07T18:00:00Z,26542,25944
2015-01-07T19:00:00Z,25915,25724
2015-01-07T20:00:00Z,23827,23465
2015-01-07T21:00:00Z,23195,23503
2015-01-07T22:00:00Z,25313,24991
2015-01-07T23:00:00Z,25184,25550
2015-01-08T00:00:00Z,25985,25830
2015-01-08T01:00:00Z,26035,26493
2015-01-08T02:00:00Z,26486,26825
2015-01-08T03:00:00Z,25162,25136
2015-01-08T04:00:00Z,25116,25415
2015-01-08T05:00:00Z,27408,27170
2015-01-08T06:00:00Z,26359,26151
2015-01-08T07:00:00Z,26273,26475
2015-01-08T08:00:00Z,27553,27539
2015-01-08T09:00:00Z,27892,28249
2015-01-08T10:00:00Z,26721,26811
2015-01-08T11:00:00Z,26915,27449
2015-01-08T12:00:00Z,29330,30122
2015-01-08T13:00:00Z,30239,30518
2015-01-08T14:00:00Z,30534,28902
2015-01-08T15:00:00Z,28790,29195
2015-01-08T16:00:00Z,29863,29246
2015-01-08T17:00:00Z,27457,27589
2015-01-08T18:00:00Z,27523,28037
2015-01-08T19:00:00Z,30227,30862
2015-01-08T20:00:00Z,30918,31221
2015-01-08T21:00:00Z,30647,30936
2015-01-08T22:00:00Z,30844,30571
2015-01-08T23:00:00Z,30958,29689
2015-01-09T00:00:00Z,27714,27397
2015-01-09T01:00:00Z,27603,28095
2015-01-09T02:00:00Z,30528,30405
2015-01-09T03:00:00Z,30705,30758
2015-01-09T04:00:00Z,30822,30952
2015-01-09T05:00:00Z,31029,31197
2015-01-09T06:00:00Z,30791,30265
2015-01-09T07:00:00Z,27857,27435
2015-01-09T08:00:00Z,28051,28166
2015-01-09T09:00:00Z,30665,30922
2015-01-09T10:00:00Z,31014,31036
2015-01-09T11:00:00Z,30644,30695
2015-01-09T12:00:00Z,30878,30776
2015-01-09T13:00:00Z,30451,29901
2015-01-09T14:00:00Z,27244,26689
2015-01-09T15:00:00Z,27628,28046
2015-01-09T16:00:00Z,30233,30024
2015-01-09T17:00:00Z,30554,30585
2015-01-09T18:00:00Z,30387,30392
2015-01-09T19:00:00Z,29759,28982
2015-01-09T20:00:00Z,27766,26788
2015-01-09T21:00:00Z,25321,25070
2015-01-09T22:00:00Z,26391,25996
2015-01-09T23:00:00Z,27728,27967
2015-01-10T00:00:00Z,27758,28240
2015-01-10T01:00:00Z,28492,28503
2015-01-10T02:00:00Z,28546,28682
2015-01-10T03:00:00Z,27520,28706
2015-01-10T04:00:00Z,26063,25466
2015-01-10T05:00:00Z,25721,25282
2015-01-10T06:00:00Z,27606,27314
2015-01-10T07:00:00Z,27989,27483
2015-01-10T08:00:00Z,27722,27854
2015-01-10T09:00:00Z,27140,26598
2015-01-10T10:00:00Z,25568,25653
2015-01-10T11:00:00Z,23621,23421
2015-01-10T12:00:00Z,24156,23965
2015-01-10T13:00:00Z,25448,25510
2015-01-10T14:00:00Z,25783,25458
2015-01-10T15:00:00Z,25840,26045
2015-01-10T16:00:00Z,26388,26895
2015-01-10T17:00:00Z,26328,26804
