X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
30922,25487,22942,32324,32583,25674,28932,24373,24585,21980,31362,31430,31339,32182,32768,26687,24030,33970,34141,33944,33376,32222,25467,23134,19667,27505,30177,29908,29566,24811
31194,26273,24151,32856,32501,26920,29893,25681,25925,23210,30930,31379,31577,31410,32066,27451,25257,33533,33468,34008,32633,31543,26312,24657,21009,28623,30557,31150,30862,25948
30842,26261,24355,32587,31938,27340,29625,25733,25969,23832,30340,30809,31340,30598,31143,27238,25460,32476,32496,33294,31613,30398,25890,24818,21778,28432,29934,31187,30808,25759
30647,25968,24269,32490,31550,27559,29406,25573,25576,23894,29921,30410,31192,30059,30495,26673,25345,31891,31764,32399,31018,29435,25220,24390,22032,27776,29133,30563,30287,25024
30615,25957,24569,32515,31748,28103,29811,25709,25912,24403,30012,30673,31299,29926,30151,26561,25306,31676,31446,32323,30741,28890,25232,24141,21976,27556,28988,30482,30609,24793
29971,26004,25263,32151,31912,28714,30248,26125,26362,25027,30010,30540,30889,29839,29627,26756,25688,31164,31194,32273,30472,28312,25393,24270,21681,27640,29058,30519,30670,25049
29682,25674,25163,31698,32072,28053,29814,25486,25774,24362,30076,30385,30695,29936,29514,26435,25432,31459,31131,32194,30305,28018,25038,23717,20431,26906,28429,30073,29903,24763
29575,25565,25250,31483,32300,27603,29571,25178,25655,24090,30188,30544,30551,30142,29824,26267,25398,31699,31553,32351,30708,28243,25117,23777,20461,26977,28723,29984,29562,24857
30093,25995,26047,32205,32700,27853,30043,25710,26038,24640,31044,31152,31212,31079,30776,26851,25972,32440,32595,33116,31700,29148,26002,24846,21708,27965,29966,30637,29688,25731
31610,27812,27992,33687,33727,29509,31268,27460,27726,26728,32356,32597,32844,33046,32778,28835,28366,34286,34493,34776,33506,31247,28151,27432,24198,30069,31804,32109,31004,27891
32005,28600,29231,34144,33927,30024,31468,28271,28364,27778,32791,33146,33543,33796,33473,29766,29808,35290,35483,35455,34304,31915,29136,28375,25678,31054,32582,32598,31458,28936
32243,29052,30394,34585,34190,30631,31563,28742,28647,28601,33387,33615,34087,34507,33689,30245,30938,35998,36271,36023,34677,32179,29643,27818,26673,31636,33047,32984,31697,29506
